"Course","Area B","Writing","Area C","Area E","Quant. Relationships","IGETC Category","AHI","Area D","Area F","Ethnicity","Euro Trad","World Cult","Area G"
"ENV S 110",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENV S 115",0,0,1,0,1,0,0,0,0,0,0,0,0
"ENV S 122",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENV S 130",0,0,0,0,0,0,0,1,0,0,0,1,0
"ENV S 132",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENV S 136",0,0,0,0,0,0,0,0,1,0,0,0,0
"ENV S 143",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENV S 146",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENV S 160",0,1,0,0,0,0,0,0,0,0,0,0,1
"ENV S 161",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENV S 173",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENV S 189",0,1,0,0,0,0,0,0,0,1,0,0,0
"ENV S 2",0,1,1,0,0,0,0,0,0,0,0,0,0
"ENV S 20",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENV S 3",0,1,0,1,0,0,0,0,0,0,0,0,0
"FAMST 101",0,1,0,0,0,0,0,0,0,0,0,0,0
"FAMST 120",0,1,0,0,0,0,0,0,1,0,0,1,0
"FAMST 121",0,0,0,0,0,0,0,0,1,0,0,1,0
"FAMST 122",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 124",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 125",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 126",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 127",0,1,0,0,0,0,0,0,1,1,0,0,0
"FAMST 134",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 144",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 163",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 169",0,0,0,0,0,0,0,0,1,0,0,0,0
"FAMST 175",0,0,0,0,0,0,0,0,1,0,0,0,0
"FAMST 178",0,1,0,0,0,0,0,0,1,0,0,0,0
"FAMST 191",0,1,0,0,0,0,0,0,0,0,0,0,0
"FAMST 193",0,1,0,0,0,0,0,0,0,0,0,0,0
"FAMST 46",0,1,0,0,0,0,0,0,1,0,0,0,0
"FEMST 117",0,1,0,0,0,0,0,1,0,0,0,0,0
"FEMST 142",0,1,0,0,0,0,0,0,0,1,0,0,0
"FEMST 150",0,1,0,0,0,0,0,0,0,0,0,0,0
"FEMST 153",0,1,0,0,0,0,0,1,0,1,0,0,0
"FEMST 154",0,1,0,0,0,0,0,0,0,0,0,0,0
"FEMST 155",0,0,0,0,0,0,1,0,0,0,0,0,0
"FEMST 159",0,1,0,0,0,0,1,1,0,0,0,0,0
"FEMST 162",0,1,0,0,0,0,0,0,0,0,0,0,0
"FEMST 171",0,1,0,1,0,0,0,0,0,0,0,0,1
"FEMST 20",0,1,0,0,0,0,0,1,0,0,0,0,0
"FEMST 30",0,1,0,0,0,0,0,1,0,0,0,1,0
"FEMST 40",0,1,0,0,0,0,0,0,0,0,0,0,1
"FEMST 50",0,1,0,0,0,0,0,1,0,0,0,0,0
"FEMST 60",0,1,0,0,0,0,0,1,0,1,0,0,0
"FEMST 80",0,1,0,0,0,0,0,0,0,0,0,0,0
"FEMSTW 150",0,1,0,0,0,0,0,0,0,0,0,0,0
"FEMSTW 20",0,1,0,0,0,0,0,1,0,0,0,0,0
